"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000450390.6",15.2322275830934,-4.37911587180791,1.2626984619626,-3.46806146021711,0.000524227379316614,0.0620653684636927
"ENST00000532772.5",184.09273079247,-10.4024073145237,3.37761923902376,-3.07980461336143,0.00207136432566046,0.213112838274132
"ENST00000527719.5",49.1220468933065,-21.783009935135,4.45930974158329,-4.88483895433577,1.03513425792708e-06,0.000712929752274513
"ENST00000536055.6",59.6822713539829,-8.76383288565274,2.29403788443197,-3.82026510770669,0.000133308309065169,0.0173768705121173
"ENST00000518681.6",8.17950526397034,-22.2360987596033,5.13703867810394,-4.32858309095124,1.50071713675262e-05,0.00359132102160509
"ENST00000703697.1",26.2877969686196,-25.7162558079716,5.13581161475137,-5.00724281515854,5.52152547185217e-07,0.000488450273539174
"ENST00000502512.1",8.7630683519685,6.3433977098331,1.4302179388582,4.43526649854308,9.19584579287605e-06,0.0029547589824316
"ENST00000419916.8",59.2104006151895,-21.7158322875542,4.82837583163317,-4.49754390395268,6.87429687151903e-06,0.00242702753941003
"ENST00000649290.1",15.4613170922057,-21.7929168251282,4.18019006784333,-5.21337940893481,1.85431090410585e-07,0.000231735882701686
"ENST00000676052.1",7.82813147865726,-22.1250415286526,5.13642484272198,-4.3074788799845,1.65125856847498e-05,0.00362581919291087
"ENST00000674544.1",6.46640141558616,-23.0205489283967,5.13706127038148,-4.48126812524608,7.4200820579049e-06,0.00256535569376451
"ENST00000378097.6",23.783794545707,-7.35782462739252,1.92511852942006,-3.82201122421748,0.000132367663249971,0.0172828704195633
"ENST00000669250.1",59.5017048290231,19.2075018824779,5.06880737020696,3.78935328956752,0.000151039981734286,0.0195265678848995
"ENST00000470648.5",40.0430076018439,-9.08309205133869,2.05335197035904,-4.42354364105948,9.70950074989969e-06,0.00304561120733507
"ENST00000613533.4",27.856556617542,-22.5797438114636,5.1360894594136,-4.39629098945671,1.10116291717984e-05,0.0031851157505431
"ENST00000614998.4",22.5617365050898,-22.5712904245115,5.13677019222677,-4.39406272421289,1.1125169326314e-05,0.0031851157505431
"ENST00000646370.2",15.835736221989,-21.7952215721415,5.13676096831514,-4.24298925073212,2.20562004292801e-05,0.00385641280636299
"ENST00000235310.7",33.5112979088195,-1.48605110143152,0.576358625018855,-2.57834451836807,0.00992749647690138,0.726404881616542
"ENST00000477853.6",134.458615417446,-10.545660852043,4.01776817359387,-2.62475593324489,0.00867110981546472,0.663453661798998
"ENST00000664563.3",22.9456118803334,-8.00311007202363,2.54474326595101,-3.14495775629168,0.00166110813995879,0.17507679528144
"ENST00000617979.5",179.488363590681,-10.3367036671533,2.44805890635527,-4.22240806392314,2.41706000170165e-05,0.00394813211730237
"ENST00000619836.4",51.2745647646763,-24.2887040785092,5.13689105902701,-4.72828872549807,2.26420061389537e-06,0.00118056319690868
"ENST00000434391.6",61.1435109934937,-8.8989623492389,3.14503081069026,-2.8295310554639,0.00466162755958774,0.411456570651864
"ENST00000608611.5",5.90824159755158,-21.2530573211571,5.13710080140363,-4.13716961040554,3.51616204095396e-05,0.00512656425571087
"ENST00000318074.9",40.7862256722945,-22.1360510278615,5.13691938129159,-4.30920740326973,1.63840664563817e-05,0.00362581919291087
"ENST00000355082.10",72.6754860930984,-22.2136527040149,5.13642471195859,-4.32473051776603,1.52718435194009e-05,0.00360560345843411
"ENST00000482949.6",23.8774855714026,-22.0123059787728,5.13647824372596,-4.28548607319813,1.82340071238569e-05,0.00374241749969833
"ENST00000458695.6",62.9406217700691,9.71136961832444,2.69329767994876,3.60575427314414,0.000311247555748127,0.0384093143560525
"ENST00000473733.5",17.1628850689665,-6.21132973807256,2.09053953539692,-2.97116109640722,0.00296676113319495,0.285548945646338
"ENST00000316891.10",35.8223664658244,-22.4460278517231,4.38647434822989,-5.11709999188322,3.10269154953746e-07,0.000309216596301498
"ENST00000372595.5",34.4027116380687,-3.88161069263778,1.4650097254437,-2.64954602363624,0.00805999934770698,0.627581653641129
"ENST00000347631.8",8.37038101214692,-21.64674030478,5.13689502129775,-4.21397365821802,2.50916563221898e-05,0.00401394463662317
"ENST00000246337.9",58.4451101300467,19.868219200309,5.06770517951047,3.92055545785089,8.83451015660644e-05,0.0118493808117536
"ENST00000355498.6",22.4838671901853,-23.1703209282741,5.13686844395833,-4.5105926268222,6.46467649278228e-06,0.00231353140740788
"ENST00000494469.5",16.9912412454392,7.01395921241374,2.65209599522722,2.64468526970224,0.00817669307335837,0.63525135790776
"ENST00000648728.1",54.2703069801716,-10.1581938322955,3.88962867859891,-2.61161017456159,0.00901169456929807,0.676366765328861
"ENST00000395334.6",188.690616076461,22.0049447389494,4.36446321673261,5.04184447117946,4.61065963853368e-07,0.000437357174290402
"ENST00000679976.1",70.5289359531331,-21.8720495136505,5.13711914086312,-4.25764887165449,2.06588086208406e-05,0.00380983572892965
"ENST00000370276.6",14.4343436468131,-22.1009157471342,5.13604105987278,-4.30310339997196,1.68422198747111e-05,0.00366861386897856
"ENST00000465289.6",104.996486383091,-10.3970698588333,2.3832479898035,-4.36256315050562,1.28547463423645e-05,0.0034417222403038
"ENST00000369969.7",13.9745898318505,-21.633020780077,5.13632614128009,-4.21176930456474,2.53378242348986e-05,0.00402197092270571
"ENST00000675650.1",15.7258661338187,-22.0377995777882,5.13637282474038,-4.29053737525412,1.78241283429441e-05,0.00371994656741547
"ENST00000676454.1",16.4156454647673,-23.8416086973079,5.13699345222544,-4.641160032427,3.4645866630865e-06,0.00150451986896412
"ENST00000659122.2",17.4532638065521,8.05676648360936,3.04662749780189,2.64448689228409,0.00818148753897359,0.63525135790776
"ENST00000493395.1",3.75436695620863,-5.30035820465151,1.98717337959235,-2.66728522990722,0.00764667448116547,0.605672007294889
"ENST00000488824.1",22.1574746698331,-5.6486481044503,2.0885264257042,-2.70460935276207,0.00683847573388997,0.556205445744447
"ENST00000679724.1",32.3565167723647,7.73814277486459,2.60343391080008,2.97228316139069,0.00295593926570742,0.285106618709959
"ENST00000687509.1",25.6363740185824,-24.1057176036287,5.1355795298279,-4.69386511563507,2.68090837439893e-06,0.00133197177834698
"ENST00000369604.6",74.4909905769269,6.54192246276566,2.07161770827463,3.15788112673268,0.0015892034735338,0.168399956767514
"ENST00000359785.10",166.652325666473,9.00546558983733,2.09611405889209,4.29626696678769,1.73698381466579e-05,0.00368911600432624
"ENST00000426820.7",15.0775563188786,-22.7596866456811,5.1371330932313,-4.43042573214022,9.40472332917416e-06,0.00297370553073309
"ENST00000689217.1",22.9858843689611,-22.3914209746606,5.13596253807518,-4.35973214536964,1.30221742136893e-05,0.0034417222403038
"ENST00000698766.1",21.837759660448,-22.416464530008,5.13574791149563,-4.36479066268653,1.27244553682781e-05,0.0034417222403038
"ENST00000613595.4",8.39688648473345,-22.0449303214774,5.13628275499714,-4.2920009222681,1.7707021318325e-05,0.00371416471704971
"ENST00000642888.2",5.9074720494571,6.01641497493864,2.13770940099541,2.81442134844761,0.00488651335787839,0.426524356643549
"ENST00000644510.2",113.643007650323,-9.61144584917779,3.3217873356282,-2.89345610602134,0.00381027543484576,0.351688869327405
"ENST00000354396.6",118.448542294307,-9.73278766791235,2.76963629952118,-3.5141031584526,0.000441241421284763,0.0529570420435853
"ENST00000647682.2",24.8540749173245,-21.7341146946875,5.13702986394866,-4.23087178200308,2.32787342922286e-05,0.00393080807067602
"ENST00000679899.1",12.4250455580203,-7.00493338070929,2.26283091620215,-3.09565037783119,0.0019638176546602,0.202641273377073
"ENST00000461507.5",23.8748715454152,-22.0833240846912,5.13634404734423,-4.29942462598656,1.71242101427185e-05,0.00366861386897856
