"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000465727.5",27.4172192218842,-20.2140853162146,5.856199505124,-3.45174123568159,0.000556981609343099,0.0663997648706081
"ENST00000478641.5",141.166638412719,-9.72810001146874,2.4127787993075,-4.0319071165002,5.53260542988011e-05,0.0131791595101223
"ENST00000496007.5",53.2336422449505,-7.90444219646309,2.74972219345534,-2.8746330139374,0.00404497349998125,0.185295131295293
"ENST00000481223.6",106.667700334996,-8.93622739472439,2.18791120770569,-4.08436474170045,4.41975615763364e-05,0.0109220922089189
"ENST00000468800.5",26.6792878811027,-20.012315067763,4.1887834571045,-4.77759599480382,1.77403364851999e-06,0.000924973346388217
"ENST00000703697.1",26.2877969686196,-18.2199893715595,6.55935984453496,-2.77770846597778,0.0054743711083058,0.204790051528336
"ENST00000343889.8",39.3524460167128,-7.93530131194362,2.80261282194102,-2.831394065502,0.00463455828604766,0.193060480244165
"ENST00000442392.6",27.6459772814107,-7.32891226535018,2.67531285333215,-2.73945989390433,0.00615402226395823,0.218020289885309
"ENST00000675375.1",38.4231366673275,-18.5025439137419,6.23630720867297,-2.96690706449003,0.00300811869812208,0.161454986278052
"ENST00000486765.5",31.9976504265549,-2.98234628480909,1.07532938763855,-2.77342581639881,0.00554694857157651,0.205644344072545
"ENST00000690452.1",32.2099333613557,-18.3334716659055,6.55943166369588,-2.79497868197557,0.00519031376729128,0.20089467179482
"ENST00000613533.4",27.856556617542,-20.3198776519019,6.55957737761291,-3.09774189435608,0.00195001181833142,0.141769555073937
"ENST00000614998.4",22.5617365050898,-18.6785163583634,6.56011036338302,-2.84728690886398,0.00440936030098804,0.191201333764305
"ENST00000646370.2",15.835736221989,-19.7384725100307,6.56010314125727,-3.00886618472401,0.00262224584653119,0.154486185708083
"ENST00000377298.9",34.8322928634648,-7.51123493717269,2.73203494445797,-2.74931876417229,0.00597192780299793,0.213637293420439
"ENST00000376838.5",41.539756868726,-7.67528185339031,2.7705247836033,-2.77033502779497,0.00559986597750526,0.206070749104777
"ENST00000495435.1",15.2342414630011,-6.36037113804635,2.44100565955911,-2.60563555563208,0.0091703978424837,0.282171119605917
