UniqueCount	AmbigCount
34	187
0	187
823	0
12	0
1628	0
523	0
1918	0
853	0
375	0
150	0
697	14
1280	18
697	4
1411	0
498	0
2963	0
196	0
1985	0
2285	0
1807	0
293	0
100	0
326	0
173	0
678	0
1425	263
0	263
386	0
619	0
1222	0
273	0
455	0
282	0
139	0
320	0
275	0
163	0
1109	0
1495	0
203	0
108	2
124	2
1246	0
559	0
97	0
762	0
448	29
126	29
61	0
309	0
424	0
196	0
72	0
31	0
610	0
1136	0
539	0
1298	0
140	0
120	0
539	0
246	0
48	6
144	6
52	0
93	1264
0	1264
332	0
0	0
1	0
4	135
26	0
421	135
1096	142
149	148
1580	6
3509	0
87	0
83	0
501	0
246	0
829	0
