"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lcl|NC_007605.1_cds_YP_401695.1_66",254.713980674166,6.1262838042726,1.98542857243779,3.08562286718302,NA,NA
"lcl|NC_007605.1_cds_YP_401696.1_67",126.010521277935,4.91946856243084,2.00649791875579,2.4517685846798,NA,NA
"lcl|NC_007605.1_cds_YP_401697.1_68",296.536280124713,6.40121754664234,1.57197382752806,4.07208913694721,NA,NA
"lcl|NC_007605.1_cds_YP_401698.1_69",57.9017933804128,5.56652484921213,0.571818699998935,9.73477231371148,2.1429706018128e-22,1.2214932430333e-20
"lcl|NC_007605.1_cds_YP_401699.3_70",44.7051117244558,5.25869109594163,0.693297887756407,7.58503839231268,3.32388628441933e-14,1.89461518211902e-12
"lcl|NC_007605.1_cds_YP_401700.1_71",184.896837123396,6.77693868243477,0.818174004194368,8.2830041625532,1.20106222339199e-16,6.84605467333434e-15
"lcl|NC_007605.1_cds_YP_401701.1_72",67.8037017451296,5.50040639265372,1.02578912911992,5.36212193764698,8.22499847679894e-08,4.6882491317754e-06
"lcl|NC_007605.1_cds_YP_401702.1_73",11.2565456046207,2.47526884782782,1.37860560976269,1.79548728824185,0.072576096274258,1
"lcl|NC_007605.1_cds_YP_401703.1_74",31.6175415240222,4.28101020260409,1.27130224014643,3.3674212688487,0.000758746876253689,0.0432485719464603
"lcl|NC_007605.1_cds_YP_401726.1_75",10.1600410075805,3.00755200704535,1.5860205273728,1.89628819749721,0.057921946082355,1
"lcl|NC_007605.1_cds_YP_401704.1_76",150.255460525317,5.78011527853919,1.69808360192526,3.4039050091443,NA,NA
"lcl|NC_007605.1_cds_YP_401705.1_77",162.87088764734,5.89249638879169,1.72636456922487,3.41323987634743,NA,NA
"lcl|NC_007605.1_cds_YP_401706.1_78",73.9274919986682,3.88098215166612,1.70090751274384,2.28171262845765,NA,NA
"lcl|NC_007605.1_cds_YP_401707.1_79",57.1515762694244,4.77674313607748,1.65834318123752,2.88043101700631,NA,NA
"lcl|NC_007605.1_cds_YP_401709.1_81",0.499856190407245,0.464204597480627,3.59851844152673,0.128998810211372,0.897358590277064,NA
"lcl|NC_007605.1_cds_YP_401710.1_82",32.4464649614928,3.96006113552003,1.31012442850247,3.02266032856632,0.0025056331409066,0.142821089031676
"lcl|NC_007605.1_cds_YP_401711.1_83",7.18058961286675,2.95720399972446,1.11885993761004,2.64305110972266,0.00821626318152419,NA
"lcl|NC_007605.1_cds_YP_401712.1_84",214.422772715467,7.73748006027768,0.677030581852453,11.4285532554627,3.01083306268812e-30,1.71617484573223e-28
"lcl|NC_007605.1_cds_YP_401713.1_85",326.129923833333,7.97377419016321,0.708129278025999,11.260336830573,2.05969944982769e-29,1.17402868640178e-27
"lcl|NC_007605.1_cds_YP_401714.1_86",105.573597053971,6.05428093046424,0.745860571044431,8.11717520070328,4.77159687079919e-16,2.71981021635554e-14
"lcl|NC_007605.1_cds_YP_401715.3_87",307.550392543064,8.7422099693098,0.523855415328536,16.6882115055108,1.59683122313636e-62,9.10193797187726e-61
"lcl|NC_007605.1_cds_YP_401716.1_88",323.812988579049,5.1916298716897,1.24358811138169,4.17471815963369,2.98355189960728e-05,0.00170062458277615
"lcl|NC_007605.1_cds_YP_401717.1_89",776.410277347497,8.24675226464837,1.55211200415765,5.31324559217232,1.07689744802626e-07,6.13831545374967e-06
"lcl|NC_007605.1_cds_YP_401718.3_90",23.4476515446409,3.99933894576693,1.54640154518803,2.5862228075313,0.00970341832216883,0.553094844363623
"lcl|NC_007605.1_cds_YP_401719.1_91",19.8227008818126,3.77653941717004,1.2568037014852,3.00487610969574,0.00265689045963077,0.151442756198954
"lcl|NC_007605.1_cds_YP_401720.3_92",179.558876112333,7.05801947089548,0.985933228532015,7.15871954270613,8.1434092195439e-13,4.64174325514002e-11
"lcl|NC_007605.1_cds_YP_401721.1_93",98.8519243084796,6.45431809716889,0.869426276842624,7.42365197496463,1.13934298386089e-13,6.49425500800707e-12
"lcl|NC_007605.1_cds_YP_401722.1_94",540.032786331039,8.95454672978263,0.664367988782411,13.4782934773749,2.09905773250307e-41,1.19646290752675e-39
