"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Transcript.stable.ID"
"ENST00000341991.7",23.55862706203,-21.1906465693717,3.80327313527619,-5.57168675918219,2.52284722888117e-08,0.00181927559369079,"ENST00000341991"
"ENST00000376585.6",54.7933346808635,-22.10538534202,3.1562449547274,-7.00369764042258,2.49293818556014e-12,1.79770758437112e-07,"ENST00000376585"
"ENST00000486763.5",78.9740831599742,-22.138934228021,2.54492553303446,-8.6992463789789,3.34095449527915e-18,2.4092291056357e-13,"ENST00000486763"
"ENST00000374935.7",13.3927492569387,18.7429245595664,3.07009217348534,6.10500385670452,1.02798199468746e-09,7.41298376009022e-05,"ENST00000374935"
"ENST00000681767.1",36.2427072153182,18.5664854489026,2.35482279135469,7.88445122795063,3.15920765199337e-15,2.27816782200546e-10,"ENST00000681767"
"ENST00000373871.8",51.1537856277649,18.8430084142356,3.295518913542,5.71776673373216,1.07933169267632e-08,0.00077832767022275,"ENST00000373871"
"ENST00000454613.1",21.662154820654,-21.6924035252779,2.79877908835066,-7.75066657299537,9.14114210855584e-15,6.59186039732179e-10,"ENST00000454613"
"ENST00000692369.1",47.7485981673577,20.6430331887031,3.57134897309594,5.78017811874823,7.46215786093736e-09,0.000538111127667915,"ENST00000692369"
"ENST00000485608.5",25.5880828028511,-21.4891432958941,3.00441039057223,-7.15253261116611,8.51912836081318e-13,6.1433138435496e-08,"ENST00000485608"
"ENST00000493821.6",55.0670635394451,-23.896962125062,3.63050428027878,-6.58227074813612,4.6331687568579e-11,3.34107065394537e-06,"ENST00000493821"
"ENST00000672574.2",297.747110437344,-23.8788725888562,2.69880033396101,-8.84795821623803,8.91350097971009e-19,6.42770382648854e-14,"ENST00000672574"
"ENST00000395334.6",264.037900332498,22.4032399017885,3.28161826797098,6.8268878560456,8.67764752353359e-12,6.25762518217054e-07,"ENST00000395334"
"ENST00000476412.5",33.8966454091346,-21.7623060110206,3.98780845365659,-5.45720945825916,4.83675672218202e-08,0.0034878820074999,"ENST00000476412"
"ENST00000359785.10",136.583647741563,21.9688211445888,2.85596253478807,7.69226517399641,1.44552628421844e-14,1.0423979140756e-09,"ENST00000359785"
"ENST00000369494.5",10.3667127248663,-21.3579765279905,3.81899277641406,-5.59256793044923,2.23735572569595e-08,0.00161340196091386,"ENST00000369494"
"ENST00000463920.5",51.5560109361664,19.5136623317412,3.55153503826786,5.49443047062217,3.91973316289351e-08,0.00282659797842577,"ENST00000463920"
"ENST00000368465.5",152.231297631134,-23.7262677625493,4.28517059027262,-5.53683155961357,3.07992494931509e-08,0.0022209954794501,"ENST00000368465"
"ENST00000368284.5",58.313699027918,19.1201874302245,2.91805336920449,6.55237756512897,5.66281432652619e-11,4.08356866714457e-06,"ENST00000368284"
"ENST00000648280.1",40.6553248343515,-22.1830063552873,3.51356848460777,-6.31352610671075,2.72748288765644e-10,1.96684245994681e-05,"ENST00000648280"
"ENST00000699554.1",56.3841751266522,-27.6028986392504,4.9862833441591,-5.53576616771773,3.09870755004999e-08,0.00223453998849205,"ENST00000699554"
"ENST00000271452.8",71.4104351611015,18.5783628754009,3.19272810184866,5.8189618040583,5.92142623480988e-09,0.00042700588864461,"ENST00000271452"
"ENST00000367866.7",168.64307240454,-24.9118055355377,3.1017428933216,-8.03155077397794,9.62482257132834e-16,6.9406520526363e-11,"ENST00000367866"
"ENST00000472647.5",34.794282129738,-21.1295170656904,3.05775853465327,-6.91013264331756,4.84200745935228e-12,3.49166841908811e-07,"ENST00000472647"
"ENST00000271583.7",28.163678232153,-22.3486092598796,3.79226238303379,-5.89321281139859,3.78758100405017e-09,0.000273130041364066,"ENST00000271583"
"ENST00000683652.1",89.0314891295866,18.7861727756993,2.90974317303243,6.45629928778938,1.07294319857534e-10,7.73720799356652e-06,"ENST00000683652"
"ENST00000367342.8",25.5247552111364,18.3320938641648,3.45922036302667,5.29948715037194,1.16128408318207e-07,0.00837425178064252,"ENST00000367342"
"ENST00000646651.1",45.8791793507984,20.1823434426283,3.59213131297,5.61848709977738,1.9263677511547e-08,0.00138914231271268,"ENST00000646651"
