"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Transcript.stable.ID"
"ENST00000681767.1",36.2427072153182,19.3073063965537,2.35113638010726,8.21190406473694,2.17708193068239e-16,1.38945722980012e-11,"ENST00000681767"
"ENST00000689853.1",79.1783151168302,-22.8877897559617,3.74723762172046,-6.10790989695852,1.00944310119325e-09,6.44246776043556e-05,"ENST00000689853"
"ENST00000373871.8",51.1537856277649,18.8919668305937,3.29433321966778,5.73468607176867,9.76931217179815e-09,0.000623497041428502,"ENST00000373871"
"ENST00000493793.2",31.9535667415877,-22.4398827166382,3.98915169490858,-5.62522672308467,1.85264482814777e-08,0.00118239498222047,"ENST00000493793"
"ENST00000395334.6",264.037900332498,21.804253654684,3.2816552557051,6.64428526329135,3.04691962664117e-11,1.94460504411493e-06,"ENST00000395334"
"ENST00000359785.10",136.583647741563,19.8836894844194,2.85704857365162,6.95952097832411,3.41431674807175e-12,2.17908523495435e-07,"ENST00000359785"
"ENST00000368843.8",44.3716293815062,-24.722222148162,4.35526249946053,-5.67640231816664,1.3755704532596e-08,0.000877916574679339,"ENST00000368843"
"ENST00000617697.4",166.126632925551,-22.9042635247016,3.31255332188657,-6.91438334693948,4.69902896744713e-12,2.99901426760411e-07,"ENST00000617697"
"ENST00000672630.1",72.4544759162807,21.6734796913834,4.06361044533492,5.33355251024736,9.63096953215956e-08,0.00614667737481488,"ENST00000672630"
"ENST00000647682.2",32.269613587459,-21.857752396532,3.87987605302531,-5.63362130588902,1.76464289965191e-08,0.00112623039141584,"ENST00000647682"
"ENST00000463920.5",51.5560109361664,19.028867592403,3.55158573249683,5.3578511193718,8.42175914638261e-08,0.00537493512240431,"ENST00000463920"
"ENST00000368284.5",58.313699027918,20.1617764513388,2.91564986976362,6.91501975611818,4.67798175301923e-12,2.98558151441193e-07,"ENST00000368284"
"ENST00000441662.6",155.893800801329,-23.3217802576746,3.05726746850311,-7.62830877505571,2.37853322469097e-14,1.51802747466227e-09,"ENST00000441662"
"ENST00000271452.8",71.4104351611015,21.1674529867028,3.18834592377659,6.63900765247892,3.15802003414993e-11,2.01551154619517e-06,"ENST00000271452"
