"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Transcript.stable.ID"
"ENST00000474916.1",18.3193966239666,-21.3953821304945,3.73279912604927,-5.73172608758591,9.94137231187822e-09,0.000614088509077029,"ENST00000474916"
"ENST00000374935.7",13.3927492569387,18.809810788762,3.07055943741869,6.12585790053124,9.01962778745315e-10,5.57151428058769e-05,"ENST00000374935"
"ENST00000685872.1",189.37381296426,-24.0824729234813,3.38931623821677,-7.10540747184802,1.19968057899311e-12,7.41054690449831e-08,"ENST00000685872"
"ENST00000681767.1",36.2427072153182,19.8859978392533,2.35124991538835,8.45762830616364,2.72870239009309e-17,1.6855467533844e-12,"ENST00000681767"
"ENST00000373871.8",51.1537856277649,19.5380402742955,3.29430702455797,5.93084983538144,3.01370740897481e-09,0.000186159720359783,"ENST00000373871"
"ENST00000692369.1",47.7485981673577,19.2568356384832,3.57350235264761,5.3887849336984,7.09356304451202e-08,0.00438176482822552,"ENST00000692369"
"ENST00000706288.1",56.531795247551,-21.4597853784111,3.18531558135621,-6.73709867368122,1.61580457370227e-11,9.9809864322163e-07,"ENST00000706288"
"ENST00000342505.5",325.685880729442,-24.8953515811429,4.62772105154749,-5.37961370269238,7.4645837435335e-08,0.00461094802421808,"ENST00000342505"
"ENST00000395334.6",264.037900332498,22.4551892966721,3.28165068406278,6.84265068361022,7.7741060820117e-12,4.80214306791945e-07,"ENST00000395334"
"ENST00000337393.10",172.380491321218,-23.5119548340537,3.78661116722121,-6.20923400786034,5.32434880692268e-10,3.28890350152421e-05,"ENST00000337393"
"ENST00000465289.6",98.3510817666306,-23.1372060810331,2.90898828314532,-7.95369517817933,1.81029218895029e-15,1.11823558803649e-10,"ENST00000465289"
"ENST00000675654.1",42.0836599633762,-29.2869687418408,4.28085572460303,-6.84138186987291,7.8432867783885e-12,4.84487667587836e-07,"ENST00000675654"
"ENST00000369965.8",88.1808897621658,-22.0903305691514,2.54288342404574,-8.68711886681991,3.71747097236646e-18,2.29631899434049e-13,"ENST00000369965"
"ENST00000667949.2",47.2183177487643,-21.9802675660462,3.92621019958022,-5.59834202671987,2.16411475003942e-08,0.00133679532224685,"ENST00000667949"
"ENST00000261441.9",190.633667617153,-24.7179695373435,3.41367661412117,-7.24086442022481,4.45833923885254e-13,2.7539607312316e-08,"ENST00000261441"
"ENST00000359785.10",136.583647741563,21.6542155267322,2.85617781972566,7.58153619749492,3.4148713693498e-14,2.10940019356106e-09,"ENST00000359785"
"ENST00000369567.5",23.5131255904907,-21.4459998973877,3.95511486373045,-5.42234565525611,5.88219981097888e-08,0.00363349364523977,"ENST00000369567"
"ENST00000614785.5",145.443564930923,-23.2716806230183,2.34543563076619,-9.92211439007434,3.33612857516398e-23,2.06075998216454e-18,"ENST00000614785"
"ENST00000463920.5",51.5560109361664,18.9853412901943,3.55256206408293,5.34412656210562,9.08540735315607e-08,0.00561214697611804,"ENST00000463920"
"ENST00000359205.9",33.1588771601678,-20.9786308318814,3.85305239804448,-5.4446783133623,5.18990914686671e-08,0.00320585877911104,"ENST00000359205"
"ENST00000368284.5",58.313699027918,19.3517009751854,2.9179553305022,6.63193873219946,3.31306106008194e-11,2.04651094742321e-06,"ENST00000368284"
"ENST00000649676.1",101.13273869083,-22.5273635026701,3.57375553395064,-6.30355470279385,2.9089547610368e-10,1.79689044544004e-05,"ENST00000649676"
"ENST00000648280.1",40.6553248343515,-21.850157645385,3.51356848460777,-6.21879372526995,5.00991398832744e-10,3.09467396972974e-05,"ENST00000648280"
"ENST00000271452.8",71.4104351611015,20.3712145851096,3.1893822472867,6.3871975842469,1.68953282934555e-10,1.04364132401504e-05,"ENST00000271452"
"ENST00000683652.1",89.0314891295866,19.1344250998755,2.90926733184603,6.57705976017476,4.79841959615131e-11,2.96403176873862e-06,"ENST00000683652"
