"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000671676.1",84.282825246348,-22.6819583959082,3.51357177579013,-6.45552726493186,1.07842761860369e-10,7.32953330983998e-06
"ENST00000493373.5",85.6699855798456,-19.7821589265941,3.37162674097587,-5.86724464074822,4.43096668639925e-09,0.000301150650841125
"ENST00000616884.4",111.259669489489,-22.2706048623745,3.48977321791375,-6.38167682302527,1.75159313728127e-10,1.19047027575322e-05
"ENST00000374935.7",13.3927492569387,17.9808819647809,3.38538587501195,5.31132421196074,1.08831517143368e-07,0.00739673406264902
"ENST00000681767.1",36.2427072153182,19.5744470064358,2.56216919633086,7.63979484042945,2.17568137968022e-14,1.47870184969966e-09
"ENST00000695862.1",445.982413305696,-25.4046498848388,3.86182188891332,-6.57841055740338,4.75503766888308e-11,3.23176135165638e-06
"ENST00000689853.1",79.1783151168302,-23.4461382581405,4.2304959949097,-5.54217242761885,2.98741911715371e-08,0.00203039940297352
"ENST00000374011.6",63.9820399717453,-23.1041755385288,3.78782513826269,-6.09958873368839,1.06341714664747e-09,7.2275146371895e-05
"ENST00000373871.8",51.1537856277649,21.0692776824809,3.63343442041917,5.79872243298951,6.6822027583927e-09,0.00045415591047416
"ENST00000678287.1",60.3437125283608,-21.3085656205138,3.82337023546963,-5.57324148805495,2.500425839516e-08,0.00169941442182705
"ENST00000493821.6",55.0670635394451,-22.9276654015176,4.10140476702122,-5.59019816475455,2.26810619842556e-08,0.00154151837775993
"ENST00000395334.6",264.037900332498,21.6330597812536,3.62162471461105,5.97330245013443,2.32498283262981e-09,0.000158017458219685
"ENST00000261441.9",190.633667617153,-24.303059641328,3.86171625914734,-6.29333125751039,3.10724258491543e-10,2.11183742283777e-05
"ENST00000359785.10",136.583647741563,20.2575281472556,3.13955935228046,6.45234756671865,1.10130637725607e-10,7.48502879302091e-06
"ENST00000616917.4",175.570431500124,-22.8690960267439,3.96228360501291,-5.77169589723736,7.84776524896275e-09,0.000533373365145753
"ENST00000649021.1",78.6905308825712,-22.5056993278144,3.48089545698195,-6.46549130990782,1.00970206567253e-10,6.86244008934338e-06
"ENST00000368284.5",58.313699027918,20.1966026194164,3.2066039515697,6.29844000832399,3.00656043151515e-10,2.04340879727927e-05
"ENST00000271452.8",71.4104351611015,19.3413216274372,3.51826540243273,5.4974026729375,3.85425911442586e-08,0.00261954720711953
"ENST00000367866.7",168.64307240454,-24.3537511039237,3.51744847209033,-6.92369804338623,4.40003285980003e-12,2.99048233316309e-07
"ENST00000489398.1",14.1728549214044,-21.8041277731237,2.99795755428695,-7.2729941562864,3.51605538190328e-13,2.38968704031057e-08
"ENST00000345664.10",34.837914520226,-20.8561357618289,3.43951193199736,-6.06369048114265,1.33033057483189e-09,9.04159175184494e-05
"ENST00000683652.1",89.0314891295866,21.4312798125324,3.19495645855846,6.70784722437252,1.97516557986679e-11,1.34242128635647e-06
"ENST00000367535.8",65.5984203072833,-19.8543801549205,3.22037345838901,-6.16524151979961,7.03756411055082e-10,4.78308044773586e-05
"ENST00000367342.8",25.5247552111364,20.3473346259912,3.81754256847345,5.32995618543362,9.82364637536417e-08,0.00667664125901626
"ENST00000695780.1",139.865004534454,21.1079841222539,3.77394845423476,5.59307695328178,2.23080355840316e-08,0.00151616563846871
"ENST00000614059.4",40.4854012297207,19.2863136318617,2.98269168391324,6.4660768445763,1.00579944456e-10,6.83591592495207e-06
"ENST00000539697.5",64.5816645629672,-22.5947020424713,3.29741058473138,-6.8522561755263,7.26942235960978e-12,4.94066290670879e-07
"ENST00000655399.1",345.079049903887,-26.7748131013683,3.94951888593917,-6.77925941731542,1.20793462542764e-11,8.20972768171895e-07
"ENST00000679276.1",43.3521901813833,-21.306907404516,3.57491991054913,-5.96010762133218,2.5207186704195e-09,0.000171320644435062
"ENST00000366769.7",41.2738241941995,20.6330838367652,3.16836924882795,6.51220934693702,7.405341155102e-11,5.03304011606508e-06
"ENST00000680850.1",110.37575872623,-25.8448470502954,4.27416052483936,-6.04676565142971,1.47782471064793e-09,0.000100440356459186
"ENST00000366544.5",173.038016986187,-23.4802066678584,3.34253861420319,-7.02466280212465,2.1458383987504e-12,1.45841906771071e-07
"ENST00000483271.1",26.3630079713131,-21.7947983344977,3.85409941095416,-5.6549652747805,1.55877784258987e-08,0.00105942336071621
"ENST00000679227.1",37.1583109117159,-20.9635824911082,3.52974023549521,-5.93912897053942,2.86540386695852e-09,0.000194747173817836
"ENST00000676937.1",474.743435315686,-25.4342232281113,3.3450587624903,-7.60352060577143,2.88181342273944e-14,1.95862449276486e-09
"ENST00000380834.7",177.214246589612,22.150084842229,3.87840703748316,5.71112949934286,1.12228803156001e-08,0.000762763060649759
"ENST00000677239.1",34.0027872570575,-22.1749432048874,3.41819405468775,-6.48732718216407,8.73724675185811e-11,5.93826975490037e-06
"ENST00000409174.1",91.678530103604,-22.7775162456176,4.31539240723316,-5.27820279042053,1.30457046876536e-07,0.00886651319096378
"ENST00000409013.8",43.8066238539551,19.6341166769484,2.5928297129446,7.57246670651987,3.66203087948333e-14,2.48889928724085e-09
"ENST00000652736.1",110.488214786513,-23.1052008911068,3.87262584218422,-5.966287948457,2.42711807188746e-09,0.000164959079755831
"ENST00000440875.6",59.5476607732422,-22.5768819453195,3.38210346752449,-6.67539658739194,2.46564477808274e-11,1.67577547342394e-06
"ENST00000679938.1",43.3917210505013,19.9011532594723,2.82779336722221,7.03769712813971,1.95442928190143e-12,1.3283278614443e-07
"ENST00000445547.1",56.4360680816912,-22.6447982252282,3.12605363466215,-7.24389305869207,4.35985241356989e-13,2.96317369288277e-08
"ENST00000676933.1",13.959757390246,-22.303044538744,3.54441296405137,-6.29245089806099,3.12492192579072e-10,2.12385318686367e-05
"ENST00000486181.5",105.216722730921,20.8192614589195,3.70077711196091,5.62564586546746,1.84815156919064e-08,0.00125609621400042
"ENST00000321356.9",53.9016489898281,-21.1085364928566,3.80294211110803,-5.55058054425826,2.8472249312396e-08,0.00193511642451699
"ENST00000342002.6",62.8088023214618,-23.0165850250165,4.24074614577002,-5.4274847476958,5.71537492087605e-08,0.00388445456497341
