UniqueCount	AmbigCount
0	6
0	0
0	920
0	0
0	1
0	2
0	0
0	1
0	1
0	0
0	0
0	0
0	1
1	81
0	13
0	18
0	16
0	6
0	44
2	13
9	293
1	83
0	51
188	67
0	45
0	279
2	46
0	29
1	78
0	0
0	0
0	0
1	1241
0	194
0	241
0	213
0	210
0	139
58	105
0	0
0	118
0	0
0	0
0	0
0	0
0	18
0	0
0	8
1	57
4	47
0	11
8	33
0	362
0	271
0	300
0	244
0	256
2	209
2	85
0	252
0	221
3	67
0	80
1	40
4	35
0	68
0	59
0	51
0	0
0	0
0	8
0	0
0	433
0	10
0	2
0	15
0	0
0	0
4	49
0	2
0	0
0	88
0	8
0	0
0	18
0	73
0	8
0	11
0	0
0	0
2	6742
526	15305
0	72393
5	2
2	14179
0	168
365	25126
1	13838
0	0
0	0
11	1956
1	21
0	0
0	0
0	78
0	22
0	21
0	21
0	22
0	19
0	86
0	87
0	21
0	21
0	37
0	19
0	21
0	21
0	22
0	83
0	84
0	7
0	1
2	1
0	10
0	0
0	0
0	3
0	3
0	5
0	3
0	3
0	1
0	3
0	35
1	8
1	8
0	64
10	35
0	35
0	0
46	29
0	15
0	71
0	71
22	110
11	43
0	159
2	169
0	100
0	126
8	18
0	90
0	125
0	89
0	100
1	3
0	68
0	73
0	21
0	84
0	93
0	94
0	71
0	10
2	62
0	68
0	62
0	90
0	107
0	88
0	116
0	81
0	70
0	86
0	73
0	15
0	90
0	114
0	84
2	14
0	18
0	31
0	12
0	68
2	17
2	5
0	5
0	39
0	15
0	36
0	0
0	0
1	0
21	10
0	3
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
56	1848
7	783
48	1762
1	0
1	424
5	65
136	109
35	35
4	74
20	15
20	35
0	35
3	37
0	7
0	9
0	3
0	3
0	3
0	0
4	0
0	98
0	90
4	94
1	76
0	8649
0	6518
449	8648
0	10
0	0
1	3769
0	3680
0	3518
0	3607
0	155
4	222
7	130
2	54
11	154
111	1018
0	155
0	91
0	88
0	52
0	87
3	100
0	88
2	92
0	87
4	68
2	56
7	1
1	5
0	2
1	155
1	138
0	153
0	155
25	130
0	149
5	162
0	40
1	125
2	70
0	49
0	49
0	27
0	25
1	24
0	17
0	10
1	13
0	5
4	12
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	0
1	18
0	0
0	0
0	0
0	0
0	0
0	140
1	211
14	117
2	120
0	45
0	50
0	52
0	53
1	52
0	54
0	37
0	51
0	35
0	39
0	45
0	46
0	45
0	14
0	1734
0	1645
0	1568
76	999
6	922
0	589
0	452
390	0
1	0
1	0
2	6
0	7
0	6
14	3
1	869
0	903
0	873
0	587
0	632
0	507
0	536
11	218
0	485
2	316
0	138
0	173
0	229
0	190
2	187
0	46
0	89
0	85
6	119
10	30
3	0
10	0
0	56
0	38
4	51
0	52
2	5
0	52
0	7
0	12
25	722
4	765
13	540
0	516
1	30
2	95
0	137
3	47
52	182
0	97
30	69
0	81
0	8
0	0
5	143
0	62
0	52
0	92
0	37
2	98
0	70
0	1004
0	1406
0	1404
0	1092
0	390
0	1272
0	1409
0	1093
42	1053
2	881
1	1075
0	1405
0	1123
0	1040
0	1222
0	1287
0	562
0	365
7	373
0	995
0	392
0	462
0	338
0	243
0	273
0	483
0	113
1	164
0	477
0	324
0	301
0	389
0	346
0	346
0	49
0	39
0	239
0	301
0	274
1	226
0	233
0	249
0	167
0	138
0	140
0	169
0	38
0	57
0	2
0	0
11	0
4	162
216	196
0	79
62	0
0	586
28	589
0	113
0	158
5	116
1	48
7	65
0	0
0	1
0	3
0	4
0	4
0	4
0	0
0	0
0	1
0	2
0	0
0	1013
3	977
18	975
0	1010
19	280
2	60
0	0
0	1043
9	1258
5	1051
11	726
1	1920
0	1232
2	1458
0	1522
0	668
2	783
0	282
2	282
0	216
1	284
0	473
14	70
3	207
4	42
0	107
0	371
0	372
0	397
0	399
0	382
0	394
0	354
0	354
0	364
0	28
0	362
0	369
0	376
0	211
4	836
0	509
17	724
23	145
16	338
0	205
0	6
35	202
0	18
0	18
0	18
0	2
0	1
0	0
1	4
0	0
0	0
0	0
0	0
0	3
0	14
0	17
0	2
26	210
0	10
3	7
2	896
0	653
40	824
3	207
30	531
62	452
0	19
0	20
0	13
0	1019
9	868
0	1010
0	914
1	948
1	62
0	218
0	292
3	0
0	0
0	0
132	1254
4	986
0	348
271	216
0	16
5	275
0	0
25	0
2	0
47	0
24	523
0	495
0	519
0	529
0	491
1	514
0	522
8	52
0	45
0	505
1	59
0	441
0	42
1	18
1	64
0	525
2	299
0	54
0	490
0	448
1	25
4	32
1	454
1	65
1	32
0	29
5	74
0	194
0	148
8	194
0	124
0	88
0	0
0	4
0	3
0	4
0	4
0	3
0	4
0	3
0	2
1	0
4	1458
0	1394
0	1309
0	1180
0	1110
0	1182
1	1182
0	1182
0	303
0	0
0	390
0	2847
0	2834
33	1069
15	460
0	1
0	0
0	4
8	1344
0	1253
0	369
2	1076
0	1185
0	1088
0	1177
0	1229
0	1204
0	1118
11	158
0	259
0	138
0	59
0	325
0	120
0	150
0	236
0	235
4	171
2	68
2	22
4	21
95	1169
3	0
3	7
0	0
1	0
3	404
13	84
0	414
0	266
0	2020
0	1976
14	1902
1	1104
3	116
0	534
2	344
0	242
0	458
2	291
0	210
0	335
11	368
0	319
1	317
2	204
2	15
0	6319
3	7153
0	7381
0	6833
1	6870
1	7058
0	6786
0	6252
0	7040
0	6869
0	3819
0	6970
0	6990
0	6857
1	6940
1	6735
0	6688
0	5952
4	6144
0	5699
0	5971
1	5774
0	3964
0	3590
20	1396
0	2452
2	1648
0	1045
0	114
0	505
1	0
0	4
0	2
0	1
0	4
1	1
0	2
0	2
0	2
0	2
0	4
0	2
0	0
0	1
1	3
0	0
0	0
0	0
0	0
0	0
0	0
3	13
0	0
0	0
3	35
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	32
0	1
0	0
0	0
0	0
0	0
0	0
0	209
0	49
0	20
0	13
0	13
0	9
1	170
3	22
0	150
0	34
0	44
0	36
0	44
0	37
0	55
0	50
0	39
0	31
0	24
0	41
0	17
0	148
0	42
0	113
1	101
0	16
4	27
6	0
0	0
0	190
1	271
3	282
0	321
0	243
39	363
0	292
0	380
0	371
1	384
5	361
0	249
0	281
0	0
0	0
0	0
0	26
642	40
0	0
0	11
2	14
0	8
2	8
0	31
1	35
0	31
0	9
8	19
0	14
13	17
0	21
6	15
0	8
0	2
0	0
20	1
0	1
3	0
0	1351
0	458
0	1593
0	711
5	79
1	1256
0	630
140	944
3	420
3	397
0	411
0	363
0	368
0	132
0	65
1	46
1	44
0	28
7	1
0	68
0	61
0	61
0	76
0	47
3	51
0	35
2	0
0	0
0	385
0	357
0	289
0	92
3	32
3	25
1	33
0	74
0	98
1	38
1	11
0	15
2	0
0	59
0	59
0	110
0	33
91	117
5	54
63	141
2	26
0	1048
0	1249
47	1246
0	1249
0	1115
9	2512
0	1924
4	712
0	755
183	1073
280	2576
0	2338
0	497
0	909
10	2
4	534
4	37
53	0
0	0
0	127
0	135
0	503
0	493
0	518
0	505
0	167
0	520
0	163
0	75
0	68
0	92
0	495
1	62
7	428
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	1
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	21
0	21
0	12
1	0
0	14
0	2
0	1
0	1
0	0
0	2
1	2
0	2
0	1
0	2
0	2
0	2
74	564
0	564
35	327
15	328
84	84
1	171
0	95
0	59
0	42
0	155
0	97
0	30
0	347
0	317
0	179
0	321
0	321
0	131
0	131
0	142
0	155
0	322
0	85
1	18
0	139
0	83
3	0
0	0
0	94
0	7
0	204
0	157
0	225
0	420
0	131
0	7
0	265
0	22
0	288
0	318
0	367
0	348
0	179
0	231
0	214
0	198
0	233
1	298
0	217
0	54
0	89
0	32
0	188
0	172
2	53
0	162
0	30
0	0
0	11
0	0
0	0
2	23
0	15
0	23
0	9
786	182
0	180
0	73
1	0
0	0
1	684
0	789
0	795
0	785
0	735
0	787
2	787
1	762
0	742
0	768
0	741
0	759
0	757
0	645
0	695
0	679
0	54
1	489
0	242
2	469
0	48
0	75
0	282
0	162
0	104
0	88
0	23
0	195
0	194
1	193
0	194
0	194
0	196
0	192
0	186
0	12
0	33
10	382
15	402
0	386
0	379
0	394
0	370
0	375
0	373
0	376
2	199
0	59
0	0
0	1
0	4
2	22
0	7
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	47
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	20
0	20
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
1	66
1	71
0	163
1	186
0	185
0	150
2	6
0	11
0	12
0	98
0	17
0	465
0	494
0	3777
0	3807
0	3772
0	158
0	187
0	6
3	168
0	1
0	366
0	138
1	359
0	3749
0	583
0	6
0	1136
0	3688
1	358
0	1865
0	3864
0	414
0	3767
4	615
0	384
0	1272
0	3776
0	388
2	422
8	3710
4	367
0	116
0	3800
0	3771
0	1173
0	1339
0	318
0	96
1	3557
0	231
0	1380
5	2507
0	183
6	75
0	463
3	3063
0	2968
0	3083
3	3
0	0
0	3
0	2
0	1
0	0
0	3873
3669	8196
35	8197
0	7969
0	6342
0	5642
0	3879
0	3872
0	0
4	21
7	67
0	2
2	0
3	65
0	0
0	0
0	3
0	2
285	688
0	10
6	653
1	309
3	18
0	5
0	5
0	0
53	0
1	541
4	541
4	507
0	507
0	507
0	513
0	513
0	325
0	29
2	0
2	47
0	2
0	2
17	58
0	0
0	0
0	2
2	1
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	6
0	6
0	12
0	34
0	5
0	7
0	6
0	6
0	2
0	1
0	2
0	1
0	1
0	2
0	2
0	0
0	2
0	2
0	1
0	1
0	0
0	29
0	38
0	40
0	40
0	40
0	40
